n,m,dual_lp
100,100,2374464
100,200,3162280
100,300,4653821
100,400,4937024
100,500,5528348
100,600,21327412
100,700,11697213
100,800,8377090
100,900,8967976
100,1000,9067947
100,1100,10506375
100,1200,10177824
100,1300,11443369
100,1400,12204742
100,1500,12245758
100,1600,13413949
100,1700,13006588
100,1800,14738408
100,1900,14535253
100,2000,17692136
100,2100,17979749
100,2200,21069973
100,2300,21591926
100,2400,21810033
100,2500,20947941
100,2600,22066784
100,2700,22774104
100,2800,23211613
100,2900,25567728
100,3000,27325234
100,3100,29549224
100,3200,28891243
100,3300,29617318
100,3400,30229118
100,3500,32490740
100,3600,32579332
100,3700,33758862
100,3800,32227953
100,3900,39204031
100,4000,34076688
100,4100,37343528
100,4200,38294873
100,4300,39834951
100,4400,39555145
100,4500,41283782
100,4600,47585693
100,4700,79994665
100,4800,63773409
100,4900,50554795
100,5000,46794417
100,5100,49040447
100,5200,48662014
100,5300,49715862
100,5400,45539940
100,5500,45048570
100,5600,47634596
100,5700,50351009
100,5800,48215130
100,5900,48885612
100,6000,48989784
100,6100,50630393
100,6200,51735087
100,6300,52568657
100,6400,51425458
100,6500,57185815
100,6600,53945939
100,6700,53165355
100,6800,55353182
100,6900,56022114
100,7000,56547991
100,7100,57984506
100,7200,55240523
100,7300,61239675
100,7400,63605461
100,7500,67498247
100,7600,60655482
100,7700,61545246
100,7800,60365013
100,7900,60961719
100,8000,59733380
100,8100,65472026
100,8200,71397412
100,8300,66321877
100,8400,66600196
100,8500,68492337
100,8600,68977309
100,8700,68789984
100,8800,67229093
100,8900,69568614
100,9000,73079202
100,9100,70336318
100,9200,70905591
100,9300,73644006
100,9400,74881501
100,9500,72428093
100,9600,74174196
100,9700,73514004
100,9800,75163240
100,9900,76289826
100,10000,78464416
