n,m,dinic
200,200,34528
200,300,43562
200,400,48229
200,500,59610
200,600,133976
200,700,148638
200,800,163486
200,900,205268
200,1000,163867
200,1100,142437
200,1200,141392
200,1300,226215
200,1400,207465
200,1500,220105
200,1600,267171
200,1700,255315
200,1800,238187
200,1900,230654
200,2000,234089
200,2100,254045
200,2200,252244
200,2300,228976
200,2400,228461
200,2500,255075
200,2600,259902
200,2700,265582
200,2800,267687
200,2900,256614
200,3000,232865
200,3100,270315
200,3200,271149
200,3300,254593
200,3400,282766
200,3500,373264
200,3600,288500
200,3700,290968
200,3800,279158
200,3900,310089
200,4000,319209
200,4100,322627
200,4200,396278
200,4300,405112
200,4400,412649
200,4500,347321
200,4600,351073
200,4700,368837
200,4800,326805
200,4900,368737
200,5000,375286
200,5100,385455
200,5200,357732
200,5300,333187
200,5400,335971
200,5500,369622
200,5600,399913
200,5700,394993
200,5800,403204
200,5900,402198
200,6000,373951
200,6100,424238
200,6200,425634
200,6300,658450
200,6400,453790
200,6500,434521
200,6600,481070
200,6700,443760
200,6800,454968
200,6900,437171
200,7000,447256
200,7100,504571
200,7200,451651
200,7300,460543
200,7400,906494
200,7500,503990
200,7600,520469
200,7700,480881
200,7800,484680
200,7900,496346
200,8000,527993
200,8100,505281
200,8200,540276
200,8300,551060
200,8400,660188
200,8500,593797
200,8600,600581
200,8700,601143
200,8800,619249
200,8900,620764
200,9000,575003
200,9100,606060
200,9200,618649
200,9300,634114
200,9400,670858
200,9500,643101
200,9600,757041
200,9700,651543
200,9800,615717
200,9900,722285
200,10000,678851
200,10100,674139
200,10200,745195
200,10300,719340
200,10400,695098
200,10500,712228
200,10600,717359
200,10700,657340
200,10800,760396
200,10900,744016
200,11000,740730
200,11100,743741
200,11200,754827
200,11300,685133
200,11400,787030
200,11500,762529
200,11600,756920
200,11700,747462
200,11800,785952
200,11900,929443
200,12000,955386
200,12100,834807
200,12200,778427
200,12300,716441
200,12400,799949
200,12500,803053
200,12600,752047
200,12700,800691
200,12800,801697
200,12900,1153385
200,13000,874522
200,13100,787814
200,13200,785408
200,13300,861306
200,13400,788191
200,13500,758961
200,13600,774422
200,13700,749888
200,13800,804247
200,13900,798355
200,14000,755484
200,14100,816397
200,14200,775234
200,14300,846861
200,14400,819233
200,14500,832179
200,14600,825185
200,14700,820115
200,14800,847755
200,14900,807805
200,15000,756075
200,15100,877284
200,15200,884835
200,15300,908484
200,15400,864040
200,15500,976175
200,15600,873923
200,15700,899540
200,15800,898625
200,15900,879814
