n,m,primal_lp
200,200,3033871
200,300,3560429
200,400,3962369
200,500,4460527
200,600,5378272
200,700,6608965
200,800,6642220
200,900,6493413
200,1000,6976761
200,1100,7263190
200,1200,7652130
200,1300,7843772
200,1400,9021693
200,1500,9687296
200,1600,9093997
200,1700,9562980
200,1800,9964612
200,1900,10959541
200,2000,10223147
200,2100,10242755
200,2200,11670564
200,2300,11502160
200,2400,11833525
200,2500,12998132
200,2600,13696702
200,2700,14148110
200,2800,14777446
200,2900,23878350
200,3000,21615706
200,3100,14754105
200,3200,16343115
200,3300,15056993
200,3400,17907109
200,3500,17613604
200,3600,18677943
200,3700,19007834
200,3800,18196312
200,3900,18193538
200,4000,19674523
200,4100,20571975
200,4200,22203218
200,4300,21543554
200,4400,22289440
200,4500,23345635
200,4600,22447026
200,4700,22807431
200,4800,24245788
200,4900,23010291
200,5000,22946674
200,5100,25065067
200,5200,24529942
200,5300,24420113
200,5400,25499956
200,5500,24442100
200,5600,27514632
200,5700,24631260
200,5800,25804598
200,5900,27618142
200,6000,30231718
200,6100,31690581
200,6200,30573816
200,6300,28137576
200,6400,26910399
200,6500,31990700
200,6600,37760289
200,6700,30776957
200,6800,31851141
200,6900,32117991
200,7000,29653314
200,7100,32683335
200,7200,39562849
200,7300,39053884
200,7400,34490673
200,7500,34253513
200,7600,38367125
200,7700,34015960
200,7800,36883139
200,7900,35002463
200,8000,34658254
200,8100,39268439
200,8200,36846275
200,8300,37234425
200,8400,37828082
200,8500,37233325
200,8600,45536895
200,8700,40717800
200,8800,40855419
200,8900,36922059
200,9000,39158406
200,9100,46874768
200,9200,41797472
200,9300,42142708
200,9400,44453602
200,9500,43502395
200,9600,45709386
200,9700,37011993
200,9800,39305997
200,9900,43800311
200,10000,49042391
200,10100,54530963
200,10200,48202268
200,10300,49590005
200,10400,56559252
200,10500,51630996
200,10600,53934399
200,10700,42399298
200,10800,45779052
200,10900,50741835
200,11000,58058501
200,11100,55653149
200,11200,52985679
200,11300,52243229
200,11400,55587100
200,11500,59852978
200,11600,47078627
200,11700,57991730
200,11800,58655011
200,11900,63107082
200,12000,55866161
200,12100,63849984
200,12200,62664996
200,12300,59749746
200,12400,73042820
200,12500,44411792
200,12600,46140633
200,12700,62344893
200,12800,39634459
200,12900,38038427
200,13000,73820198
200,13100,72410843
200,13200,68672232
200,13300,61435996
200,13400,78710105
200,13500,73297053
200,13600,35391901
200,13700,38877677
200,13800,36454413
200,13900,71485184
200,14000,72581760
200,14100,69431588
200,14200,72870688
200,14300,71547328
200,14400,73122346
200,14500,63934229
200,14600,64874174
200,14700,73253926
200,14800,66194249
200,14900,77763313
200,15000,64850595
200,15100,71749492
200,15200,81556785
200,15300,97261232
200,15400,89102705
200,15500,75988981
200,15600,78380573
200,15700,87681994
200,15800,83493983
200,15900,93307832
200,16000,83225447
200,16100,85619784
200,16200,76107069
200,16300,86859843
200,16400,100690557
200,16500,89665480
200,16600,89425841
200,16700,94220911
200,16800,104999704
200,16900,100036041
200,17000,89523967
200,17100,94130995
200,17200,99496655
200,17300,94195756
200,17400,101921034
200,17500,84022698
200,17600,95972528
200,17700,95114569
200,17800,103720377
200,17900,104917450
200,18000,109252676
200,18100,104987192
200,18200,92406278
200,18300,106483173
200,18400,99610058
200,18500,111724653
200,18600,111968026
200,18700,90255663
200,18800,100658444
200,18900,111000783
200,19000,101333184
200,19100,101386037
200,19200,109872237
200,19300,101752774
200,19400,115889934
200,19500,99809804
200,19600,105917029
200,19700,118119994
200,19800,106513126
200,19900,109300014
200,20000,116130132
200,20100,120942322
200,20200,103269206
200,20300,103431327
200,20400,120162040
200,20500,112230128
200,20600,141620493
200,20700,105347930
200,20800,125841295
200,20900,122665806
200,21000,127665699
200,21100,59724486
200,21200,110293483
200,21300,113898670
200,21400,117485060
200,21500,133621107
200,21600,57381880
200,21700,116620205
200,21800,102551564
200,21900,120030837
200,22000,114183880
200,22100,125793739
200,22200,136578870
200,22300,136498404
200,22400,118321821
200,22500,137722809
200,22600,125274374
200,22700,144121039
200,22800,130577810
200,22900,126891766
200,23000,118960948
200,23100,124958491
200,23200,150457717
200,23300,117117759
200,23400,123158536
200,23500,121315007
200,23600,115084971
200,23700,122464579
200,23800,121830978
200,23900,122494061
200,24000,135198149
200,24100,144740078
200,24200,127347265
200,24300,146456092
200,24400,123899254
200,24500,117990937
200,24600,136174835
200,24700,152090703
200,24800,137719391
200,24900,142739025
200,25000,157687339
200,25100,138469901
200,25200,140983883
200,25300,143830076
200,25400,145470291
200,25500,137308507
200,25600,143260587
200,25700,139760901
200,25800,171155530
200,25900,164898759
200,26000,151520633
200,26100,154784972
200,26200,142387500
200,26300,139591312
200,26400,154753167
200,26500,143491324
200,26600,133835804
200,26700,168498293
200,26800,142322346
200,26900,141624198
200,27000,157551597
200,27100,162397767
200,27200,166193651
200,27300,144326784
200,27400,172083595
200,27500,152706351
200,27600,148437430
200,27700,146131276
200,27800,145729434
200,27900,162444718
200,28000,152927912
200,28100,139944413
200,28200,155238969
200,28300,175695237
200,28400,169012207
200,28500,146167151
200,28600,263740071
200,28700,154371695
200,28800,144187731
200,28900,157533138
200,29000,146669239
200,29100,184677878
200,29200,164142016
200,29300,81795348
200,29400,142174302
200,29500,140349044
200,29600,189999375
200,29700,169356894
200,29800,163945614
200,29900,148947494
200,30000,137920415
200,30100,171423111
200,30200,162998111
200,30300,173325800
200,30400,167541982
200,30500,161259485
200,30600,152655252
200,30700,187881630
200,30800,156623615
200,30900,192584171
200,31000,155813771
200,31100,178043651
200,31200,150398956
200,31300,160502588
200,31400,141376737
200,31500,162612295
200,31600,172102288
200,31700,170198980
200,31800,184649010
200,31900,178135979
200,32000,191532960
200,32100,187598236
200,32200,170156735
200,32300,179563092
200,32400,172177509
200,32500,165861060
200,32600,156389095
200,32700,185756188
200,32800,188091498
200,32900,189240963
200,33000,205172090
200,33100,173234222
200,33200,189812593
200,33300,184909508
200,33400,194843980
200,33500,182586679
200,33600,207391616
200,33700,159089325
200,33800,160173641
200,33900,164497997
200,34000,170938776
200,34100,178134257
200,34200,210013180
200,34300,163331081
200,34400,173614261
200,34500,167324246
200,34600,184575151
200,34700,163205590
200,34800,168909914
200,34900,168910281
200,35000,183947694
200,35100,206046242
200,35200,196963923
200,35300,167106390
200,35400,168530659
200,35500,203828312
200,35600,202439646
200,35700,172953272
200,35800,93404679
200,35900,94929856
200,36000,208328656
200,36100,183289195
200,36200,178656313
200,36300,92701280
200,36400,105153097
200,36500,192080243
200,36600,200065632
200,36700,188876448
200,36800,193121759
200,36900,192499176
200,37000,208782423
200,37100,173189460
200,37200,206059121
200,37300,88351005
200,37400,102432658
200,37500,190900816
200,37600,211493684
200,37700,216467734
200,37800,210008345
200,37900,164391547
200,38000,194291012
200,38100,190305657
200,38200,239299008
200,38300,229322161
200,38400,187071928
200,38500,179239963
200,38600,190692256
200,38700,182923584
200,38800,179582825
200,38900,191817339
200,39000,171837650
200,39100,182165382
200,39200,191935868
200,39300,173742830
200,39400,215553409
200,39500,208515966
200,39600,190438769
200,39700,191430773
200,39800,197757881
200,39900,237448245
200,40000,87063121
