n,m,lp_runs,exp_lp
500,500,1,25181686
500,600,1,2724127
500,700,1,3206297
500,800,1,2955491
500,900,1,3081074
500,1000,1,3282134
500,1100,1,3497366
500,1200,1,3418867
500,1300,1,4153596
500,1400,2,5852710
500,1500,2,4623204
500,1600,2,4918749
500,1700,5,7011952
500,1800,3,5923459
500,1900,12,11634980
500,2000,8,10090625
500,2100,8,11291943
500,2200,15,16899093
500,2300,13,14755477
500,2400,15,16679300
500,2500,11,14111564
500,2600,13,16061767
500,2700,14,18182844
500,2800,11,16361762
500,2900,15,19850070
500,3000,10,14521378
500,3100,15,20361281
500,3200,12,17089457
500,3300,9,16899415
500,3400,9,16452819
500,3500,14,20763038
500,3600,10,16695470
500,3700,13,19891763
500,3800,12,19573313
500,3900,10,19894770
500,4000,9,17942675
500,4100,12,21053938
500,4200,13,22459314
500,4300,13,23101890
500,4400,16,27271541
500,4500,13,26511699
500,4600,13,24451693
500,4700,14,25765477
500,4800,13,26230023
500,4900,11,22692202
500,5000,11,25313708
500,5100,13,28486546
500,5200,12,25911416
500,5300,12,25780263
500,5400,13,28011645
500,5500,15,34279367
500,5600,15,34104841
500,5700,11,26512433
500,5800,13,30205831
500,5900,15,36498597
500,6000,19,41275564
500,6100,14,33427430
500,6200,16,36941776
500,6300,20,44121597
500,6400,27,61837558
500,6500,19,43918063
500,6600,19,44039507
500,6700,25,56082271
500,6800,22,52397109
500,6900,26,58786526
500,7000,27,61699398
500,7100,28,69128775
500,7200,30,69770265
500,7300,40,94396449
500,7400,40,97408765
500,7500,38,89023192
500,7600,40,99325623
500,7700,41,98564978
500,7800,40,100541922
500,7900,41,101236402
500,8000,39,101884948
500,8100,35,89872861
500,8200,45,118439028
500,8300,42,109510710
500,8400,41,114334757
500,8500,44,118230352
500,8600,44,121486630
500,8700,34,95293598
500,8800,36,105753838
500,8900,40,112431868
500,9000,47,137283440
500,9100,41,117665078
500,9200,42,126472894
500,9300,39,115306909
500,9400,46,138941404
500,9500,48,142606146
500,9600,38,120156532
500,9700,46,141132002
500,9800,41,135441046
500,9900,49,153062754
500,10000,45,145294479
500,10100,46,146746628
500,10200,47,160898822
500,10300,45,152796859
500,10400,41,140081040
500,10500,39,133759444
500,10600,43,150594661
500,10700,49,165491150
500,10800,50,173079142
500,10900,53,185254613
500,11000,48,168378320
500,11100,48,171229769
500,11200,52,183455999
500,11300,50,179835458
500,11400,48,176472914
500,11500,49,184769404
500,11600,54,202739167
500,11700,52,196057412
500,11800,54,205796118
500,11900,46,176931674
500,12000,56,213827067
500,12100,54,254093662
500,12200,69,275928130
500,12300,64,266863841
500,12400,70,277890686
500,12500,75,300748940
500,12600,73,297153063
500,12700,68,279619879
500,12800,66,272374465
500,12900,68,284218537
500,13000,75,312468836
500,13100,77,322424584
500,13200,60,256363724
500,13300,66,285455616
500,13400,64,279711020
500,13500,74,318230777
500,13600,75,327895436
500,13700,68,303247766
500,13800,66,294032649
500,13900,65,294267712
500,14000,59,268034601
500,14100,65,298602960
500,14200,68,313747539
500,14300,70,322967364
500,14400,61,285950225
500,14500,66,310683058
500,14600,74,348321891
500,14700,68,327801496
500,14800,71,339396474
500,14900,79,381743933
500,15000,75,375207114
500,15100,77,384586844
500,15200,75,381401084
500,15300,87,439707856
500,15400,93,464801274
500,15500,88,439828947
500,15600,79,400354707
500,15700,72,364743332
500,15800,77,394703455
500,15900,72,370142788
500,16000,75,388837844
500,16100,72,372621658
500,16200,93,479804435
500,16300,83,433982963
500,16400,90,475459069
500,16500,92,488326839
500,16600,91,486333237
500,16700,81,443336300
500,16800,82,446237271
500,16900,86,469560366
500,17000,89,488340002
500,17100,91,503979542
500,17200,83,464393634
500,17300,84,470479338
500,17400,87,492029031
500,17500,84,474312429
500,17600,84,480891992
500,17700,82,467814161
500,17800,86,492807520
500,17900,88,510315109
500,18000,83,482818826
500,18100,93,636894037
500,18200,97,579643033
500,18300,89,531142195
500,18400,77,461757029
500,18500,90,540465690
500,18600,91,554101291
500,18700,102,612209025
500,18800,95,572350162
500,18900,106,650059239
500,19000,96,588431773
500,19100,94,588082476
500,19200,96,606394727
500,19300,89,553904269
500,19400,97,611522965
500,19500,88,553391392
500,19600,118,750878940
500,19700,92,578083537
500,19800,87,551209835
500,19900,93,591867198
500,20000,102,649032120
500,20100,94,613369460
500,20200,100,654257942
500,20300,122,785604324
500,20400,100,652032791
500,20500,98,643824269
500,20600,100,661205271
500,20700,116,764416470
500,20800,100,665371952
500,20900,102,678880585
500,21000,96,648989471
500,21100,102,685832194
500,21200,107,717537175
500,21300,98,670436738
