n,m,dual_lp
700,700,34900146
700,800,6760933
700,900,8246550
700,1000,8195125
700,1100,9045644
700,1200,11012643
700,1300,12655266
700,1400,12696577
700,1500,14001903
700,1600,15825181
700,1700,15304746
700,1800,16044590
700,1900,16797286
700,2000,17907329
700,2100,19166997
700,2200,19900306
700,2300,21476471
700,2400,22731107
700,2500,22847110
700,2600,24979778
700,2700,23659765
700,2800,26796726
700,2900,25655316
700,3000,26310528
700,3100,27553110
700,3200,28551174
700,3300,29347225
700,3400,28470588
700,3500,33676768
700,3600,34761295
700,3700,35963216
700,3800,35089499
700,3900,35384192
700,4000,38242839
700,4100,38689801
700,4200,39108147
700,4300,40840729
700,4400,40319648
700,4500,45943867
700,4600,43876370
700,4700,43693164
700,4800,45122678
700,4900,46064580
700,5000,52585281
700,5100,49295458
700,5200,48578386
700,5300,49775377
700,5400,48772204
700,5500,51212292
700,5600,52530595
700,5700,51879969
700,5800,53487567
700,5900,53104391
700,6000,59285007
700,6100,56854965
700,6200,55724872
700,6300,57032908
700,6400,57644928
700,6500,59961127
700,6600,59691674
700,6700,59653345
700,6800,71206937
700,6900,66594531
700,7000,75114133
700,7100,76143052
700,7200,68920447
700,7300,77880228
700,7400,70532021
700,7500,73746339
700,7600,73291460
700,7700,73020812
700,7800,80233236
700,7900,70398025
700,8000,79719644
700,8100,81180026
700,8200,72695207
700,8300,72721070
700,8400,76230255
700,8500,77694062
700,8600,78747414
700,8700,83672052
700,8800,76140762
700,8900,80116987
700,9000,79287040
700,9100,91459403
700,9200,82382232
700,9300,83191492
700,9400,87799474
700,9500,96763475
700,9600,88980285
700,9700,93624179
700,9800,90543131
700,9900,94685827
700,10000,105330912
700,10100,169471533
700,10200,175288662
700,10300,180943741
700,10400,182548083
700,10500,184159036
700,10600,259374559
700,10700,211730176
700,10800,190810058
700,10900,194249454
700,11000,204890876
700,11100,206997069
700,11200,211099287
700,11300,203850564
700,11400,220667642
700,11500,208461785
700,11600,225314599
700,11700,244123061
700,11800,211841195
700,11900,231045263
700,12000,241293453
700,12100,231000020
700,12200,235197682
700,12300,230439709
700,12400,236971019
700,12500,241489665
700,12600,235234490
700,12700,256646406
700,12800,240685684
700,12900,242066081
700,13000,267345646
700,13100,251681679
700,13200,258495398
700,13300,265357318
700,13400,267156172
700,13500,298748701
700,13600,283894624
700,13700,283829432
700,13800,285334790
700,13900,273761438
700,14000,280511536
700,14100,286352539
700,14200,302431152
700,14300,299260171
700,14400,293118191
700,14500,309923934
700,14600,396918567
700,14700,409534729
700,14800,386779276
700,14900,331079257
700,15000,354957526
700,15100,363512009
700,15200,362452495
700,15300,378225043
700,15400,355691717
700,15500,366987073
700,15600,355575506
700,15700,361719297
700,15800,374175720
700,15900,377064311
700,16000,396414887
700,16100,396567902
700,16200,403319914
700,16300,429313676
700,16400,409384382
700,16500,408967103
700,16600,401232521
700,16700,423895911
700,16800,418115126
700,16900,396708551
700,17000,405831902
700,17100,411533556
700,17200,416248672
700,17300,423789282
700,17400,432966852
700,17500,412435924
700,17600,435719344
700,17700,474000676
700,17800,458791895
700,17900,438701672
700,18000,447284795
700,18100,446588843
700,18200,468352370
700,18300,457136241
700,18400,461571620
700,18500,484711381
700,18600,476316565
700,18700,486747987
700,18800,478202264
700,18900,483383220
700,19000,512381619
700,19100,511106577
700,19200,501531336
700,19300,505880008
700,19400,503555075
700,19500,516512893
700,19600,248925453
700,19700,592973154
700,19800,539580804
700,19900,247605539
700,20000,538012894
700,20100,522319345
700,20200,547384535
700,20300,543355541
700,20400,554746107
700,20500,532991155
700,20600,580766577
700,20700,586972887
700,20800,560872486
700,20900,587496255
700,21000,589161801
700,21100,592822240
700,21200,601190630
700,21300,578976757
700,21400,597734752
700,21500,599517373
700,21600,565155874
700,21700,575494838
700,21800,266292959
700,21900,610418874
700,22000,620490242
700,22100,631928284
700,22200,613259203
700,22300,629536330
700,22400,297231205
700,22500,620111285
700,22600,635011735
700,22700,663938498
700,22800,282936791
700,22900,684071186
700,23000,649102677
700,23100,639355313
700,23200,647403634
700,23300,664575337
700,23400,672444519
700,23500,685578702
700,23600,689263973
700,23700,324745118
700,23800,685042448
700,23900,699397646
700,24000,690147229
700,24100,674530153
700,24200,719366135
700,24300,702891756
700,24400,693664575
700,24500,335002506
700,24600,355273831
700,24700,366808081
700,24800,355285043
700,24900,330895004
700,25000,369372180
700,25100,375428862
700,25200,321646321
700,25300,337235579
700,25400,356781808
700,25500,372440940
700,25600,386109659
700,25700,332301354
700,25800,326199224
700,25900,332788000
700,26000,359248793
700,26100,369435303
700,26200,304246541
700,26300,307846051
700,26400,368484448
700,26500,321948780
700,26600,346399514
700,26700,321529210
700,26800,343416282
700,26900,320459896
700,27000,379707448
700,27100,333910566
700,27200,337229065
700,27300,343515177
700,27400,358150068
700,27500,347109873
700,27600,351205136
700,27700,349251041
700,27800,341958194
700,27900,382128510
700,28000,376071149
700,28100,366082174
700,28200,343791360
700,28300,369508613
700,28400,373465046
700,28500,355027704
700,28600,370779956
700,28700,367296215
700,28800,374980303
700,28900,363747933
700,29000,393034219
700,29100,329040504
700,29200,385524075
700,29300,358627219
700,29400,381687242
700,29500,372230746
700,29600,406509594
700,29700,384772057
700,29800,354637391
700,29900,386981695
700,30000,352129457
700,30100,383863065
700,30200,389265316
700,30300,394136401
700,30400,365085138
700,30500,375471400
700,30600,386645520
700,30700,377365081
700,30800,413063621
700,30900,381033504
700,31000,420784608
700,31100,392307174
700,31200,377091176
700,31300,376805572
700,31400,407628332
700,31500,395681257
700,31600,396802618
700,31700,371698919
700,31800,420325783
700,31900,394763991
700,32000,389757442
700,32100,385527560
700,32200,434329810
700,32300,394010913
700,32400,384219255
700,32500,416573044
700,32600,381837546
700,32700,425069262
700,32800,404683048
700,32900,491861918
700,33000,432259972
700,33100,477899754
700,33200,442211135
700,33300,389209413
700,33400,431931628
700,33500,446931387
700,33600,410626941
