n,m,dinic
900,900,126919
900,1000,137622
900,1100,235389
900,1200,197163
900,1300,211356
900,1400,227046
900,1500,292764
900,1600,304688
900,1700,329342
900,1800,339393
900,1900,364914
900,2000,393675
900,2100,430419
900,2200,418879
900,2300,316154
900,2400,351756
900,2500,415069
900,2600,409290
900,2700,422558
900,2800,428508
900,2900,416066
900,3000,381675
900,3100,361834
900,3200,367793
900,3300,367241
900,3400,515717
900,3500,596744
900,3600,391919
900,3700,464299
900,3800,435671
900,3900,429466
900,4000,419640
900,4100,468228
900,4200,465690
900,4300,447223
900,4400,488186
900,4500,495534
900,4600,478309
900,4700,478795
900,4800,484122
900,4900,468197
900,5000,483546
900,5100,530853
900,5200,647797
900,5300,725311
900,5400,687629
900,5500,723899
900,5600,802828
900,5700,796420
900,5800,961804
900,5900,681775
900,6000,648627
900,6100,692638
900,6200,658088
900,6300,646377
900,6400,978537
900,6500,711265
900,6600,765085
900,6700,747007
900,6800,852364
900,6900,695053
900,7000,756505
900,7100,750831
900,7200,795181
900,7300,798184
900,7400,774123
900,7500,815526
900,7600,802861
900,7700,751691
900,7800,799712
900,7900,1385275
900,8000,888118
900,8100,836853
900,8200,837315
900,8300,832802
900,8400,895055
900,8500,899667
900,8600,911901
900,8700,915850
900,8800,859802
900,8900,1099964
900,9000,878019
900,9100,938796
900,9200,939335
900,9300,946467
900,9400,971326
900,9500,996120
900,9600,1070816
900,9700,1005322
900,9800,1098264
900,9900,1222287
900,10000,1048690
900,10100,1167736
900,10200,1052213
900,10300,1146150
900,10400,1104881
900,10500,1105877
900,10600,1029894
900,10700,1108356
900,10800,1073382
900,10900,1209393
900,11000,1153334
900,11100,1091913
900,11200,1168486
900,11300,1175767
900,11400,1082353
900,11500,1123956
900,11600,1090137
900,11700,1059262
900,11800,1064182
900,11900,1077342
900,12000,1071721
900,12100,1156563
900,12200,1115912
900,12300,1157275
900,12400,1160667
900,12500,1109704
900,12600,1233243
900,12700,1151828
900,12800,1258942
900,12900,1178615
900,13000,1220257
900,13100,1204196
900,13200,1247803
900,13300,1343591
900,13400,1331144
900,13500,1205123
900,13600,1199881
900,13700,1241822
900,13800,1295605
900,13900,1264972
900,14000,1294557
900,14100,1248470
900,14200,1141392
900,14300,1098122
900,14400,1138211
900,14500,1154537
900,14600,1164057
900,14700,1180353
900,14800,1383654
900,14900,1998636
900,15000,1440667
900,15100,1192065
900,15200,1201278
900,15300,1526941
900,15400,1420051
900,15500,1731317
900,15600,1407247
900,15700,1390494
900,15800,1417968
900,15900,1302787
900,16000,1353948
900,16100,1397856
900,16200,1352433
900,16300,1455615
900,16400,2073014
900,16500,1365132
900,16600,1351040
900,16700,1633038
900,16800,1405777
900,16900,1362448
900,17000,1671471
900,17100,1711335
900,17200,1448565
900,17300,1328106
900,17400,1426417
900,17500,1477767
900,17600,1536774
900,17700,1732111
900,17800,1406599
900,17900,1500729
900,18000,1499816
