n,m,primal_lp
900,900,25487702
900,1000,7837459
900,1100,7548229
900,1200,7952293
900,1300,8851018
900,1400,11022814
900,1500,12037159
900,1600,13964744
900,1700,17727992
900,1800,19109790
900,1900,23533605
900,2000,25474819
900,2100,26098724
900,2200,29027232
900,2300,31027132
900,2400,44694100
900,2500,34779504
900,2600,40749484
900,2700,35528548
900,2800,47916947
900,2900,46032530
900,3000,39488425
900,3100,43011103
900,3200,41359539
900,3300,52172443
900,3400,55651059
900,3500,47712485
900,3600,49731070
900,3700,48504588
900,3800,40112913
900,3900,60908953
900,4000,54829645
900,4100,52778901
900,4200,63740020
900,4300,41568126
900,4400,61932288
900,4500,61935293
900,4600,49015768
900,4700,52879352
900,4800,63726687
900,4900,63114082
900,5000,47040677
900,5100,46555094
900,5200,67652880
900,5300,55563924
900,5400,60123585
900,5500,66687814
900,5600,71570512
900,5700,68475789
900,5800,66727804
900,5900,69708229
900,6000,68366469
900,6100,64934884
900,6200,71298390
900,6300,68660724
900,6400,75042531
900,6500,80007419
900,6600,70161661
900,6700,58909491
900,6800,64741576
900,6900,66282315
900,7000,86473115
900,7100,75398888
900,7200,67342494
900,7300,82223546
900,7400,86880524
900,7500,74550491
900,7600,63300132
900,7700,77844372
900,7800,75180309
900,7900,85925465
900,8000,78224499
900,8100,81145896
900,8200,72863011
900,8300,83770997
900,8400,79953863
900,8500,83358854
900,8600,76795223
900,8700,86645741
900,8800,94335199
900,8900,77265674
900,9000,74926941
900,9100,76367570
900,9200,76214081
900,9300,84831785
900,9400,69359922
900,9500,81947661
900,9600,74557606
900,9700,69428701
900,9800,75391691
900,9900,90563457
900,10000,80192779
900,10100,92990893
900,10200,87103393
900,10300,96384611
900,10400,83099282
900,10500,79184620
900,10600,95396266
900,10700,69608075
900,10800,82464729
900,10900,92753895
900,11000,86658211
900,11100,108413132
900,11200,94134328
900,11300,93603232
900,11400,81899532
900,11500,105280082
900,11600,100377490
900,11700,93760626
900,11800,118809441
900,11900,89474951
900,12000,85417387
900,12100,116657554
900,12200,130245703
900,12300,105622874
900,12400,111341731
900,12500,109426158
900,12600,110105235
900,12700,115785779
900,12800,104790580
900,12900,124936394
900,13000,120173588
900,13100,101965849
900,13200,113897411
900,13300,113709797
900,13400,110297415
900,13500,125915625
900,13600,114890030
900,13700,133758236
900,13800,122952810
900,13900,113567855
900,14000,115264169
900,14100,154411290
900,14200,116520792
900,14300,148732034
900,14400,134636665
900,14500,115545735
900,14600,132579798
900,14700,132568682
900,14800,129039096
900,14900,145724379
