n,m,lp_runs,exp_lp
50,550,28,38527906
55,605,28,9900818
60,660,17,7186606
65,715,28,10556378
70,770,21,9045090
75,825,20,8968677
80,880,37,15409750
85,935,25,11703483
90,990,27,12518223
95,1045,19,9920527
100,1100,19,9924561
105,1155,18,10129009
110,1210,12,7686512
115,1265,26,14408463
120,1320,25,14547905
125,1375,37,21767097
130,1430,32,19858227
135,1485,33,21038423
140,1540,33,22855786
145,1595,25,17732330
150,1650,31,20543494
155,1705,26,17731293
160,1760,31,21399217
165,1815,27,19411422
170,1870,34,24318595
175,1925,37,29167725
180,1980,30,26336166
185,2035,27,23351424
190,2090,27,23992793
195,2145,27,23166987
200,2200,24,20527618
205,2255,35,28739022
210,2310,31,26320263
215,2365,37,32534135
220,2420,28,26391393
225,2475,23,22824532
230,2530,33,31636107
235,2585,26,24938853
240,2640,34,31852057
245,2695,37,35447574
250,2750,31,31767537
255,2805,25,28370470
260,2860,29,31994502
265,2915,27,30479051
270,2970,36,38118893
275,3025,18,21923440
280,3080,20,24611130
285,3135,26,30388318
290,3190,19,23877971
295,3245,19,24809480
300,3300,13,17836611
305,3355,17,22543887
310,3410,15,20614292
315,3465,13,18382519
320,3520,15,21101328
325,3575,17,23000786
330,3630,17,24870567
335,3685,12,20164758
340,3740,16,26248476
345,3795,15,24118131
350,3850,17,27029911
355,3905,17,25505689
360,3960,13,20939349
365,4015,11,18942116
370,4070,11,19352519
375,4125,13,23745549
380,4180,11,22331938
385,4235,15,28573646
390,4290,15,28445901
395,4345,10,20003709
400,4400,12,22237289
405,4455,14,25465136
410,4510,13,23435317
415,4565,12,24100971
420,4620,12,25426765
425,4675,11,24419345
430,4730,14,26783920
435,4785,14,27089652
440,4840,12,24217102
445,4895,15,27959748
450,4950,13,25816000
455,5005,13,29783174
460,5060,12,27571808
465,5115,13,28393093
470,5170,14,29821528
475,5225,21,39179651
480,5280,16,32015760
485,5335,13,27757730
490,5390,13,31168824
495,5445,16,36365595
500,5500,10,25300937
505,5555,14,35052176
510,5610,15,33282438
515,5665,17,36464414
520,5720,12,29751176
525,5775,14,36260268
530,5830,16,38280252
535,5885,12,29514881
540,5940,17,38124615
545,5995,12,30058430
550,6050,12,32022943
555,6105,11,30518260
560,6160,12,31929052
565,6215,13,33360280
570,6270,17,41509633
575,6325,18,43055523
580,6380,18,50001054
585,6435,17,42560757
590,6490,18,43348054
595,6545,19,45531964
600,6600,17,43101627
605,6655,19,50245501
610,6710,13,37065750
615,6765,12,34796192
620,6820,11,32512488
625,6875,13,37674469
630,6930,12,34853044
635,6985,17,50356995
640,7040,14,43191839
645,7095,12,36772062
650,7150,22,62995896
655,7205,21,62044451
660,7260,22,60574499
665,7315,22,57250861
670,7370,22,57838702
675,7425,20,56825174
680,7480,16,48326722
685,7535,19,52566019
690,7590,22,59726650
695,7645,24,68428129
700,7700,22,65394702
705,7755,22,61802584
710,7810,22,61453217
715,7865,18,56107197
720,7920,17,52411525
725,7975,13,41811144
730,8030,13,42376453
735,8085,14,44912001
740,8140,13,44641695
745,8195,12,44575473
750,8250,17,54722722
755,8305,15,48744212
760,8360,12,41951577
765,8415,14,53607539
770,8470,11,39775732
775,8525,18,57216664
780,8580,18,61197838
785,8635,17,59471337
790,8690,15,51645783
795,8745,13,46438320
800,8800,18,62699155
805,8855,15,55912769
810,8910,18,60873799
815,8965,19,62797152
820,9020,23,81330150
825,9075,22,71916059
830,9130,19,64233067
835,9185,18,65581193
840,9240,14,52402626
845,9295,16,58254368
850,9350,16,57779715
855,9405,22,83131564
860,9460,15,56531819
865,9515,13,51569916
870,9570,16,60764171
875,9625,22,82067930
880,9680,23,81055231
885,9735,23,81709003
890,9790,18,71635213
895,9845,19,73010365
900,9900,20,75551855
905,9955,21,85124730
910,10010,20,78745541
915,10065,28,102445868
920,10120,28,104969220
925,10175,23,87134542
930,10230,26,98157332
935,10285,31,116288271
940,10340,26,97688876
945,10395,24,90654796
950,10450,30,113254893
955,10505,25,96272406
960,10560,25,97034955
965,10615,24,94841362
970,10670,24,95595841
975,10725,26,104654536
980,10780,29,112768469
985,10835,24,100303768
990,10890,27,106614967
995,10945,23,96522063
1000,11000,22,90353253
1005,11055,25,103815928
1010,11110,25,104042368
1015,11165,29,121680081
1020,11220,26,109517455
1025,11275,27,118132982
1030,11330,27,113981539
1035,11385,29,124871882
