n,m,cmin,cmax,dinic
50,650,1,1,92923
55,715,1,1,82337
60,780,1,1,86884
65,845,1,1,84419
70,910,1,1,97845
75,975,1,1,93948
80,1040,1,1,103939
85,1105,1,1,109665
90,1170,1,1,158629
95,1235,1,1,128649
100,1300,1,1,162187
105,1365,1,1,139938
110,1430,1,1,151745
115,1495,1,1,167455
120,1560,1,1,205326
125,1625,1,1,193890
130,1690,1,1,200488
135,1755,1,1,306221
140,1820,1,1,345973
145,1885,1,1,262730
150,1950,1,1,219341
155,2015,1,1,220555
160,2080,1,1,275048
165,2145,1,1,281765
170,2210,1,1,237469
175,2275,1,1,238590
180,2340,1,1,312701
185,2405,1,1,329954
190,2470,1,1,325927
195,2535,1,1,289499
200,2600,1,1,297035
205,2665,1,1,311947
210,2730,1,1,304848
215,2795,1,1,316739
220,2860,1,1,315897
225,2925,1,1,382601
230,2990,1,1,371696
235,3055,1,1,337660
240,3120,1,1,353329
245,3185,1,1,443376
250,3250,1,1,369841
255,3315,1,1,473210
260,3380,1,1,476703
265,3445,1,1,476888
270,3510,1,1,500790
275,3575,1,1,426881
280,3640,1,1,426040
285,3705,1,1,463213
290,3770,1,1,442552
295,3835,1,1,439152
300,3900,1,1,455357
305,3965,1,1,461854
310,4030,1,1,486543
315,4095,1,1,474206
320,4160,1,1,464664
325,4225,1,1,489714
330,4290,1,1,515914
335,4355,1,1,408747
340,4420,1,1,576471
345,4485,1,1,515058
350,4550,1,1,540708
355,4615,1,1,477534
360,4680,1,1,639828
365,4745,1,1,576808
370,4810,1,1,683423
375,4875,1,1,572006
380,4940,1,1,557345
385,5005,1,1,632545
390,5070,1,1,515410
395,5135,1,1,641724
400,5200,1,1,578659
405,5265,1,1,709358
410,5330,1,1,629576
415,5395,1,1,639460
420,5460,1,1,653718
425,5525,1,1,813288
430,5590,1,1,670380
435,5655,1,1,672426
440,5720,1,1,661431
445,5785,1,1,700561
450,5850,1,1,771175
455,5915,1,1,773420
460,5980,1,1,823349
465,6045,1,1,689020
470,6110,1,1,801184
475,6175,1,1,664519
480,6240,1,1,790273
485,6305,1,1,728463
490,6370,1,1,747581
495,6435,1,1,665498
500,6500,1,1,792424
505,6565,1,1,914081
510,6630,1,1,797444
515,6695,1,1,774241
520,6760,1,1,711949
525,6825,1,1,894839
530,6890,1,1,810530
535,6955,1,1,851350
540,7020,1,1,792929
545,7085,1,1,711426
550,7150,1,1,760882
555,7215,1,1,992085
560,7280,1,1,1007351
565,7345,1,1,1270695
570,7410,1,1,856176
575,7475,1,1,1193119
580,7540,1,1,1540689
585,7605,1,1,1038805
590,7670,1,1,871631
595,7735,1,1,1379341
600,7800,1,1,1062086
605,7865,1,1,989273
610,7930,1,1,1086161
615,7995,1,1,972157
620,8060,1,1,1194123
625,8125,1,1,872164
630,8190,1,1,823667
635,8255,1,1,1207516
640,8320,1,1,1039625
645,8385,1,1,1182559
650,8450,1,1,1213490
655,8515,1,1,1209365
660,8580,1,1,1019303
665,8645,1,1,1147125
670,8710,1,1,1120486
675,8775,1,1,1139695
680,8840,1,1,956098
685,8905,1,1,990046
690,8970,1,1,1346026
695,9035,1,1,1110045
700,9100,1,1,1124988
705,9165,1,1,1289154
710,9230,1,1,1144104
715,9295,1,1,1264669
720,9360,1,1,1355667
725,9425,1,1,1155761
730,9490,1,1,1186594
735,9555,1,1,1133096
740,9620,1,1,1368498
745,9685,1,1,1314316
750,9750,1,1,1117868
755,9815,1,1,1132265
760,9880,1,1,1389493
765,9945,1,1,1187476
770,10010,1,1,1341591
775,10075,1,1,1181499
780,10140,1,1,1285900
785,10205,1,1,1209298
790,10270,1,1,1664782
795,10335,1,1,1255795
800,10400,1,1,1460943
805,10465,1,1,1444593
810,10530,1,1,1866372
815,10595,1,1,1421151
820,10660,1,1,1915329
825,10725,1,1,1282594
830,10790,1,1,1882915
835,10855,1,1,1294418
840,10920,1,1,2042227
845,10985,1,1,1423559
850,11050,1,1,1670783
855,11115,1,1,1417767
860,11180,1,1,1417528
865,11245,1,1,1623015
870,11310,1,1,1725185
