n,m,cmin,cmax,dual_lp
50,650,1,100,6601480
55,715,1,100,8158428
60,780,1,100,8961163
65,845,1,100,8561875
70,910,1,100,9245748
75,975,1,100,11356801
80,1040,1,100,10443469
85,1105,1,100,11057143
90,1170,1,100,12259237
95,1235,1,100,11720329
100,1300,1,100,12888538
105,1365,1,100,12706096
110,1430,1,100,13930900
115,1495,1,100,14168296
120,1560,1,100,16429847
125,1625,1,100,15101459
130,1690,1,100,15837725
135,1755,1,100,16052074
140,1820,1,100,17088801
145,1885,1,100,17436923
150,1950,1,100,17305442
155,2015,1,100,16250739
160,2080,1,100,17874334
165,2145,1,100,17650235
170,2210,1,100,18680084
175,2275,1,100,22614864
180,2340,1,100,23113208
185,2405,1,100,24700074
190,2470,1,100,25929239
195,2535,1,100,27677497
200,2600,1,100,27609793
205,2665,1,100,28935935
210,2730,1,100,26338023
215,2795,1,100,25748688
220,2860,1,100,28014245
225,2925,1,100,29159122
230,2990,1,100,30996629
235,3055,1,100,30685304
240,3120,1,100,30609711
245,3185,1,100,29512516
250,3250,1,100,31565264
255,3315,1,100,31352885
260,3380,1,100,33253209
265,3445,1,100,33482697
270,3510,1,100,34811868
275,3575,1,100,32494011
280,3640,1,100,31863336
285,3705,1,100,34446514
290,3770,1,100,36088173
295,3835,1,100,37293202
300,3900,1,100,36596220
305,3965,1,100,36916636
310,4030,1,100,41082730
315,4095,1,100,45916521
320,4160,1,100,55188977
325,4225,1,100,38211843
330,4290,1,100,38290895
335,4355,1,100,42248342
340,4420,1,100,42026178
345,4485,1,100,41460048
350,4550,1,100,42139394
355,4615,1,100,41189596
360,4680,1,100,43276991
365,4745,1,100,42960815
370,4810,1,100,44070569
375,4875,1,100,45852437
380,4940,1,100,44440222
385,5005,1,100,43591062
390,5070,1,100,47518677
395,5135,1,100,47041379
400,5200,1,100,45613074
405,5265,1,100,48349755
410,5330,1,100,48542338
415,5395,1,100,49655365
420,5460,1,100,49407904
425,5525,1,100,48551607
430,5590,1,100,50488904
435,5655,1,100,53904279
440,5720,1,100,51806080
445,5785,1,100,52612107
450,5850,1,100,53121562
455,5915,1,100,53713750
460,5980,1,100,53787793
465,6045,1,100,54172862
470,6110,1,100,59059946
475,6175,1,100,62361305
480,6240,1,100,68551535
485,6305,1,100,68233711
490,6370,1,100,69286826
495,6435,1,100,67534645
500,6500,1,100,69211210
505,6565,1,100,75393218
510,6630,1,100,67220547
515,6695,1,100,70587267
520,6760,1,100,77769917
525,6825,1,100,71880293
530,6890,1,100,75589264
535,6955,1,100,76976678
540,7020,1,100,76949356
545,7085,1,100,77622291
550,7150,1,100,77038125
555,7215,1,100,77655681
560,7280,1,100,74933985
565,7345,1,100,77055803
570,7410,1,100,85458352
575,7475,1,100,80826611
580,7540,1,100,84715228
585,7605,1,100,85054606
590,7670,1,100,84350118
595,7735,1,100,85852555
600,7800,1,100,89858021
605,7865,1,100,85064461
610,7930,1,100,92514121
615,7995,1,100,94597745
620,8060,1,100,86613549
625,8125,1,100,93507352
630,8190,1,100,87098041
635,8255,1,100,92042108
640,8320,1,100,92580111
645,8385,1,100,97358642
650,8450,1,100,102819090
655,8515,1,100,102840272
660,8580,1,100,94522565
665,8645,1,100,94702001
670,8710,1,100,94918705
675,8775,1,100,102792663
680,8840,1,100,95860690
685,8905,1,100,100594984
690,8970,1,100,101336272
695,9035,1,100,103108003
700,9100,1,100,101535293
705,9165,1,100,117809913
710,9230,1,100,106330763
715,9295,1,100,108645483
720,9360,1,100,113608782
725,9425,1,100,115976004
730,9490,1,100,116065958
735,9555,1,100,117806613
740,9620,1,100,115997868
745,9685,1,100,128005792
750,9750,1,100,121815810
755,9815,1,100,127040325
760,9880,1,100,115454797
765,9945,1,100,118901859
770,10010,1,100,126188871
775,10075,1,100,176973935
780,10140,1,100,188533083
785,10205,1,100,178030774
790,10270,1,100,182326994
795,10335,1,100,184594906
800,10400,1,100,179191133
805,10465,1,100,195933933
810,10530,1,100,187051628
815,10595,1,100,186583014
820,10660,1,100,187320262
825,10725,1,100,187375254
830,10790,1,100,184354408
835,10855,1,100,203143713
840,10920,1,100,183800539
