n,m,cmin,cmax,primal_lp
50,100,1,1,2680527
55,110,1,1,2712471
60,120,1,1,2516227
65,130,1,1,2054514
70,140,1,1,2050379
75,150,1,1,2075326
80,160,1,1,2742227
85,170,1,1,2267416
90,180,1,1,2540750
95,190,1,1,2022593
100,200,1,1,2996488
105,210,1,1,2330932
110,220,1,1,2445250
115,230,1,1,2393658
120,240,1,1,2989938
125,250,1,1,3130268
130,260,1,1,2639613
135,270,1,1,2510562
140,280,1,1,2796650
145,290,1,1,2391026
150,300,1,1,2459736
155,310,1,1,2326636
160,320,1,1,2379784
165,330,1,1,2823438
170,340,1,1,2459236
175,350,1,1,2331792
180,360,1,1,2614756
185,370,1,1,2893571
190,380,1,1,2552611
195,390,1,1,2652202
200,400,1,1,2820307
205,410,1,1,2608107
210,420,1,1,3032319
215,430,1,1,2722788
220,440,1,1,2754489
225,450,1,1,2551769
230,460,1,1,2670793
235,470,1,1,2462655
240,480,1,1,2424188
245,490,1,1,2781574
250,500,1,1,2992317
255,510,1,1,2802291
260,520,1,1,2817959
265,530,1,1,2732497
270,540,1,1,2897677
275,550,1,1,2853493
280,560,1,1,2879338
285,570,1,1,2866196
290,580,1,1,2827830
295,590,1,1,2691371
300,600,1,1,3089258
305,610,1,1,3127369
310,620,1,1,2918657
315,630,1,1,3023311
320,640,1,1,3237635
325,650,1,1,3207983
330,660,1,1,5139552
335,670,1,1,5103533
340,680,1,1,5022023
345,690,1,1,5507613
350,700,1,1,6919281
355,710,1,1,6000565
360,720,1,1,5771756
365,730,1,1,4535187
370,740,1,1,4916121
375,750,1,1,5237188
380,760,1,1,6066930
385,770,1,1,4749578
390,780,1,1,6563418
395,790,1,1,6601264
400,800,1,1,5966529
405,810,1,1,6847228
410,820,1,1,6453444
415,830,1,1,6691578
420,840,1,1,6686079
425,850,1,1,6721317
430,860,1,1,7313258
435,870,1,1,6778391
440,880,1,1,7099765
445,890,1,1,6465749
450,900,1,1,6120198
455,910,1,1,6760795
460,920,1,1,6095722
465,930,1,1,6342678
470,940,1,1,6612127
475,950,1,1,6588919
480,960,1,1,6635829
485,970,1,1,7243205
490,980,1,1,7935754
495,990,1,1,7989400
500,1000,1,1,9027890
505,1010,1,1,8307275
510,1020,1,1,7596134
515,1030,1,1,9317989
520,1040,1,1,8341187
525,1050,1,1,8930908
530,1060,1,1,9418770
535,1070,1,1,8416464
540,1080,1,1,8477137
545,1090,1,1,8381205
550,1100,1,1,9092195
555,1110,1,1,8769068
560,1120,1,1,9004450
565,1130,1,1,9539323
570,1140,1,1,7911811
575,1150,1,1,7461038
580,1160,1,1,7711689
585,1170,1,1,8224361
590,1180,1,1,8155885
595,1190,1,1,7809017
600,1200,1,1,8362304
605,1210,1,1,8066802
610,1220,1,1,8404717
615,1230,1,1,8884939
620,1240,1,1,8877767
625,1250,1,1,8481331
630,1260,1,1,8860942
