n,m,dual_lp
50,200,3222309
55,220,3277996
60,240,3239738
65,260,3363907
70,280,3479497
75,300,3683241
80,320,4069920
85,340,3820762
90,360,3788123
95,380,4290893
100,400,4468212
105,420,4312677
110,440,4691405
115,460,5242175
120,480,5285709
125,500,5920030
130,520,6204598
135,540,5449256
140,560,6217875
145,580,6064675
150,600,6857856
155,620,6339820
160,640,6283080
165,660,7185577
170,680,7040919
175,700,6978572
180,720,7342172
185,740,7623964
190,760,8601464
195,780,8495931
200,800,8548943
205,820,8172613
210,840,8833703
215,860,9097518
220,880,9196098
225,900,9180984
230,920,9767132
235,940,9429716
240,960,10405321
245,980,10010809
250,1000,10624805
255,1020,10696006
260,1040,10484370
265,1060,10923582
270,1080,10638669
275,1100,10914041
280,1120,11768349
285,1140,11017537
290,1160,10735018
295,1180,13067638
300,1200,12222530
305,1220,12735786
310,1240,13383421
315,1260,12173095
320,1280,11899737
325,1300,12384782
330,1320,12058995
335,1340,14869218
340,1360,12920619
345,1380,13764870
350,1400,12864358
355,1420,14149579
360,1440,14984138
365,1460,14738225
370,1480,14193328
375,1500,14550695
380,1520,14980327
385,1540,15266662
390,1560,16777625
395,1580,15204294
400,1600,16046170
405,1620,15097886
410,1640,15734902
415,1660,16248069
420,1680,16154209
425,1700,16327305
430,1720,16262802
435,1740,16038724
440,1760,16167282
445,1780,17260898
450,1800,17726810
455,1820,17743541
460,1840,18436624
465,1860,18197443
470,1880,16053932
475,1900,17330435
480,1920,17906472
485,1940,16804460
490,1960,17514130
495,1980,17119630
500,2000,19090532
505,2020,20743611
510,2040,19601611
515,2060,19114812
520,2080,19763975
525,2100,18770116
530,2120,19284557
535,2140,19441404
540,2160,19114622
545,2180,19762412
550,2200,19979689
555,2220,21024761
560,2240,20821551
565,2260,21120173
570,2280,21108784
575,2300,21229293
580,2320,21230470
585,2340,21702624
590,2360,22114905
595,2380,20495726
600,2400,23194867
605,2420,21989614
610,2440,21221100
615,2460,22876302
620,2480,21259652
625,2500,22801729
630,2520,22245863
635,2540,23132617
640,2560,23698891
645,2580,24578274
650,2600,24100732
655,2620,23916976
660,2640,24823691
665,2660,24250579
670,2680,24881031
675,2700,25275518
680,2720,25248745
685,2740,29658935
690,2760,29170538
695,2780,24675433
700,2800,26717845
705,2820,25362012
710,2840,24965529
715,2860,25625438
720,2880,26076012
725,2900,27121335
730,2920,27049847
735,2940,28259639
740,2960,26047196
745,2980,26269327
750,3000,26844520
755,3020,27088529
760,3040,26504590
765,3060,28503365
770,3080,24839475
775,3100,29453969
780,3120,27952406
785,3140,30169378
790,3160,27250203
795,3180,28215957
800,3200,27334192
805,3220,31110383
810,3240,29500411
815,3260,28647180
820,3280,29212632
825,3300,29854485
830,3320,30870692
835,3340,30319387
840,3360,29873616
845,3380,31316433
850,3400,31203606
855,3420,32941280
860,3440,30107426
865,3460,31088903
870,3480,31017479
875,3500,30408491
880,3520,31686707
885,3540,31335440
890,3560,31489860
895,3580,34636545
900,3600,32033804
905,3620,37548505
910,3640,32407080
915,3660,37721594
920,3680,34470853
925,3700,34492149
930,3720,35405485
935,3740,34593685
940,3760,36337255
945,3780,34870428
950,3800,35245150
955,3820,34560738
960,3840,34725591
965,3860,37066713
970,3880,39088485
975,3900,40669358
980,3920,36861556
985,3940,37868881
990,3960,41073386
995,3980,38559846
1000,4000,39283036
1005,4020,38919762
1010,4040,38704007
1015,4060,38598391
1020,4080,37228061
1025,4100,41926585
1030,4120,40582168
1035,4140,39411496
1040,4160,40380555
1045,4180,39157937
1050,4200,41610022
1055,4220,41298163
1060,4240,41083104
1065,4260,37973408
1070,4280,43550416
1075,4300,38605328
1080,4320,46382479
1085,4340,43869232
1090,4360,43825254
1095,4380,42226475
1100,4400,41775563
1105,4420,41524999
1110,4440,42090597
1115,4460,41588827
1120,4480,43809521
1125,4500,43956133
1130,4520,42936359
1135,4540,48972089
1140,4560,58633726
1145,4580,74481560
1150,4600,56192094
1155,4620,46062504
1160,4640,52864305
1165,4660,51518386
1170,4680,43846953
1175,4700,46832374
1180,4720,46826944
1185,4740,46342733
1190,4760,44501338
1195,4780,45609891
1200,4800,47528239
1205,4820,53489051
1210,4840,49337247
1215,4860,54909833
1220,4880,49797521
1225,4900,50404413
1230,4920,49841654
1235,4940,49354430
1240,4960,48952004
1245,4980,48967516
1250,5000,58506622
1255,5020,52320974
1260,5040,57743321
1265,5060,58407241
1270,5080,52596157
1275,5100,56809305
1280,5120,55357533
