n,m,primal_lp
50,250,21643889
55,275,3906017
60,300,3626912
65,325,3852353
70,350,3505806
75,375,3398483
80,400,3508467
85,425,3354226
90,450,3731010
95,475,3377431
100,500,3489461
105,525,4344467
110,550,4125333
115,575,3951198
120,600,4181226
125,625,4081440
130,650,4800359
135,675,5369783
140,700,4615799
145,725,5330595
150,750,5532432
155,775,5772602
160,800,5592166
165,825,6618662
170,850,6496762
175,875,7208967
180,900,6874967
185,925,7624028
190,950,7681365
195,975,7753787
200,1000,7363403
205,1025,7953283
210,1050,9468393
215,1075,8363385
220,1100,6675144
225,1125,8395553
230,1150,6848849
235,1175,7061327
240,1200,8116099
245,1225,8818237
250,1250,9687012
255,1275,9294621
260,1300,10463730
265,1325,10175503
270,1350,9990913
275,1375,10871875
280,1400,10591429
285,1425,11187829
290,1450,13412353
295,1475,11226787
300,1500,11745394
305,1525,12009480
310,1550,11855910
315,1575,12619476
320,1600,12705182
325,1625,11674990
330,1650,12997311
335,1675,13018754
340,1700,13177126
345,1725,12576448
350,1750,13973752
355,1775,12619234
360,1800,14590063
365,1825,14823729
370,1850,14542448
375,1875,14238124
380,1900,15753564
385,1925,17114439
390,1950,14761923
395,1975,16295188
400,2000,15485805
405,2025,14833395
410,2050,15583206
415,2075,15674395
420,2100,18564630
425,2125,16332919
430,2150,16238796
435,2175,17848069
440,2200,17701127
445,2225,18352127
450,2250,17656261
455,2275,16722008
460,2300,17832684
465,2325,18782409
470,2350,20310900
475,2375,19067695
480,2400,20212875
485,2425,18888803
490,2450,19647569
495,2475,18996481
500,2500,21566091
505,2525,22069092
510,2550,21291258
515,2575,20327367
520,2600,23077618
525,2625,21855892
530,2650,21442587
535,2675,21088600
540,2700,21519417
545,2725,22873828
550,2750,22515920
555,2775,24144867
560,2800,25731358
565,2825,22414781
570,2850,25406450
575,2875,24325085
580,2900,23164583
585,2925,25956483
590,2950,25827268
595,2975,25204636
600,3000,26040942
605,3025,26903512
610,3050,20789495
615,3075,23757809
620,3100,25476136
625,3125,24754975
630,3150,21004352
635,3175,25330612
640,3200,24915349
645,3225,29403493
650,3250,28410400
655,3275,26286097
660,3300,29255292
665,3325,27251536
670,3350,26746837
675,3375,27257314
680,3400,30200682
685,3425,29198919
690,3450,31189314
695,3475,29366423
700,3500,33411522
705,3525,34590735
710,3550,31000670
715,3575,31815832
720,3600,35978938
725,3625,29580956
730,3650,32905926
735,3675,32093636
740,3700,38396246
745,3725,35916111
750,3750,37405721
755,3775,37045017
760,3800,34575640
765,3825,37573214
770,3850,38555660
775,3875,40188601
780,3900,37089707
785,3925,35190260
790,3950,38984476
795,3975,37886711
800,4000,40164861
805,4025,37982942
810,4050,36958987
815,4075,41274990
820,4100,42924037
825,4125,43706333
830,4150,38386752
835,4175,32701912
840,4200,37057230
845,4225,34812249
850,4250,38494032
855,4275,37813765
860,4300,35314351
865,4325,36692818
870,4350,34966373
875,4375,36249097
880,4400,35832475
885,4425,41536498
890,4450,39443956
895,4475,43691296
900,4500,48257734
905,4525,44519463
910,4550,49745058
915,4575,48896045
920,4600,49192029
925,4625,48269834
930,4650,43186110
935,4675,47233715
940,4700,43918381
945,4725,50105113
950,4750,48372496
955,4775,48344168
960,4800,52112333
965,4825,49335091
970,4850,53791055
975,4875,47852415
980,4900,47827741
985,4925,51936839
990,4950,47029104
995,4975,56282808
1000,5000,52802636
1005,5025,51788554
1010,5050,49514301
1015,5075,56840615
1020,5100,60320245
1025,5125,51738895
1030,5150,54576288
1035,5175,53710937
1040,5200,56603938
1045,5225,50038127
1050,5250,55076307
1055,5275,61976588
1060,5300,59842098
1065,5325,55057610
1070,5350,60391215
1075,5375,65400132
1080,5400,78806974
1085,5425,73556172
1090,5450,62401192
1095,5475,70483086
1100,5500,60207031
1105,5525,66176225
1110,5550,59005647
1115,5575,65337113
1120,5600,67228374
1125,5625,72449004
1130,5650,64865481
1135,5675,75350234
1140,5700,62669583
1145,5725,78118203
1150,5750,64413534
1155,5775,87130195
1160,5800,82624815
1165,5825,64457271
1170,5850,79027828
1175,5875,72614200
1180,5900,74393613
1185,5925,68181761
1190,5950,72815000
1195,5975,75651273
1200,6000,68355960
1205,6025,77018208
1210,6050,80411165
1215,6075,68312226
1220,6100,71004712
1225,6125,76172075
1230,6150,87059299
1235,6175,76681727
1240,6200,81168736
1245,6225,86697496
1250,6250,72551863
1255,6275,88448555
1260,6300,82379894
1265,6325,80557496
1270,6350,88810508
1275,6375,80021772
1280,6400,84473808
1285,6425,94419401
1290,6450,93305277
1295,6475,80818207
1300,6500,91919355
1305,6525,95021731
1310,6550,83248420
1315,6575,100296566
1320,6600,83328863
1325,6625,93393764
1330,6650,79243453
1335,6675,94629784
1340,6700,102774427
1345,6725,101068139
1350,6750,85279934
1355,6775,84103698
1360,6800,108730874
1365,6825,98126457
1370,6850,100185650
1375,6875,110209424
1380,6900,96020952
1385,6925,96016521
1390,6950,103196152
1395,6975,94765591
1400,7000,100767271
1405,7025,96889894
1410,7050,114098000
1415,7075,96731733
1420,7100,109686072
1425,7125,97290708
1430,7150,91565075
1435,7175,88264597
1440,7200,99395342
1445,7225,111558645
1450,7250,112896262
1455,7275,114325023
1460,7300,108808416
1465,7325,122472197
1470,7350,125617070
1475,7375,104264760
1480,7400,104801280
1485,7425,110090035
1490,7450,94046566
1495,7475,113559155
1500,7500,95639054
1505,7525,136275719
1510,7550,105266331
1515,7575,112880439
1520,7600,118016754
1525,7625,109347338
1530,7650,112435317
1535,7675,129990489
1540,7700,118964416
1545,7725,104905409
1550,7750,103760393
1555,7775,107077613
1560,7800,110125348
1565,7825,111811674
1570,7850,104082842
1575,7875,104205890
1580,7900,110592585
1585,7925,113624534
1590,7950,112424804
1595,7975,109007519
1600,8000,132746501
1605,8025,127272317
1610,8050,117715268
1615,8075,114123684
1620,8100,130225718
1625,8125,143344819
1630,8150,127126090
1635,8175,126501643
1640,8200,129384150
1645,8225,136133021
1650,8250,125252895
1655,8275,132959457
1660,8300,153470779
1665,8325,142176410
1670,8350,142328945
1675,8375,134475439
1680,8400,130574783
1685,8425,134411089
1690,8450,139106659
1695,8475,149310300
1700,8500,148393372
1705,8525,130764252
1710,8550,132355902
1715,8575,134316473
1720,8600,182169254
1725,8625,138521578
1730,8650,150603233
1735,8675,138714306
1740,8700,125301286
1745,8725,124424078
1750,8750,122821129
1755,8775,140779399
1760,8800,136695219
1765,8825,166691433
1770,8850,158134102
1775,8875,142155974
1780,8900,153761868
1785,8925,153043573
1790,8950,137285111
1795,8975,149639786
1800,9000,172299614
1805,9025,145266116
1810,9050,155774473
1815,9075,121519336
1820,9100,153822397
1825,9125,154858185
1830,9150,160283428
1835,9175,150324794
1840,9200,158180680
1845,9225,157253680
1850,9250,138409634
1855,9275,147902531
1860,9300,141386224
1865,9325,159755206
1870,9350,150115127
1875,9375,150217337
1880,9400,165990294
1885,9425,168191352
1890,9450,159274904
1895,9475,151480948
1900,9500,154014365
1905,9525,184742235
1910,9550,172010562
1915,9575,151242671
1920,9600,160439768
1925,9625,158253886
1930,9650,184379226
1935,9675,170002187
1940,9700,163720600
1945,9725,148203922
1950,9750,173980150
1955,9775,168886671
1960,9800,179669070
1965,9825,174199055
1970,9850,172445616
1975,9875,159595440
1980,9900,155109122
1985,9925,163416373
1990,9950,162688060
1995,9975,189007407
2000,10000,161304379
2005,10025,172969043
2010,10050,172168781
2015,10075,167859835
2020,10100,205463461
2025,10125,186747315
2030,10150,151674646
2035,10175,177307677
2040,10200,180098823
2045,10225,181589865
2050,10250,170593055
2055,10275,171363465
2060,10300,193869685
2065,10325,173485000
2070,10350,174626172
2075,10375,179003731
