n,m,dinic
50,350,54858
55,385,59139
60,420,63259
65,455,73772
70,490,58693
75,525,73012
80,560,68796
85,595,73194
90,630,76533
95,665,76203
100,700,85757
105,735,97826
110,770,91851
115,805,121524
120,840,131424
125,875,130692
130,910,151918
135,945,130866
140,980,141225
145,1015,162548
150,1050,155056
155,1085,159709
160,1120,163422
165,1155,177571
170,1190,177262
175,1225,187708
180,1260,201952
185,1295,213764
190,1330,253696
195,1365,218757
200,1400,204683
205,1435,206483
210,1470,233014
215,1505,210914
220,1540,260718
225,1575,287817
230,1610,276072
235,1645,263728
240,1680,320283
245,1715,309539
250,1750,309682
255,1785,321997
260,1820,322209
265,1855,289486
270,1890,392584
275,1925,303289
280,1960,398632
285,1995,386205
290,2030,329742
295,2065,398362
300,2100,374681
305,2135,311773
310,2170,347397
315,2205,377538
320,2240,407823
325,2275,368325
330,2310,425365
335,2345,638442
340,2380,448610
345,2415,362326
350,2450,409457
355,2485,376791
360,2520,443385
365,2555,387152
370,2590,394264
375,2625,466108
380,2660,442721
385,2695,448917
390,2730,388012
395,2765,476821
400,2800,498989
405,2835,364314
410,2870,433346
415,2905,444444
420,2940,443069
425,2975,448765
430,3010,534499
435,3045,439826
440,3080,437679
445,3115,550310
450,3150,556665
455,3185,496518
460,3220,492171
465,3255,576399
470,3290,386959
475,3325,468476
480,3360,504499
485,3395,564929
490,3430,488890
495,3465,509238
500,3500,583166
505,3535,535897
510,3570,531079
515,3605,541408
520,3640,525580
525,3675,519275
530,3710,524016
535,3745,528173
540,3780,437742
545,3815,564280
550,3850,654218
555,3885,739810
560,3920,701392
565,3955,734272
570,3990,715928
575,4025,597284
580,4060,583349
585,4095,577901
590,4130,788239
595,4165,687467
600,4200,660162
605,4235,668004
610,4270,762071
615,4305,631668
620,4340,779227
625,4375,958633
630,4410,805913
635,4445,833134
640,4480,821133
645,4515,799200
650,4550,741023
655,4585,786250
660,4620,974114
665,4655,894306
670,4690,735688
675,4725,870246
680,4760,571449
685,4795,843799
690,4830,854442
695,4865,941563
700,4900,904512
705,4935,872669
710,4970,718504
715,5005,720446
720,5040,863614
725,5075,1012089
730,5110,937453
735,5145,998248
740,5180,948058
745,5215,885269
750,5250,886922
755,5285,865814
760,5320,821583
765,5355,934135
770,5390,930586
775,5425,951739
780,5460,820626
785,5495,904393
790,5530,864595
795,5565,987534
800,5600,817867
805,5635,1029328
810,5670,989165
815,5705,900076
820,5740,719351
825,5775,964393
830,5810,864858
835,5845,876728
840,5880,1019890
845,5915,916069
850,5950,1072197
855,5985,1069902
860,6020,1007847
865,6055,951651
870,6090,926314
875,6125,1025744
880,6160,885689
885,6195,1074596
890,6230,1209765
895,6265,1062964
900,6300,1177993
905,6335,1417498
910,6370,1233359
915,6405,1035166
920,6440,993336
925,6475,963021
930,6510,1110792
935,6545,1082466
940,6580,1082530
945,6615,982612
950,6650,921362
955,6685,946267
960,6720,830640
965,6755,1227026
970,6790,1080856
975,6825,983270
980,6860,1132142
985,6895,1247926
990,6930,928027
995,6965,1024868
1000,7000,1183264
1005,7035,1036412
1010,7070,1047500
1015,7105,1167453
1020,7140,990793
1025,7175,1036895
1030,7210,1296105
1035,7245,1211411
1040,7280,1236979
1045,7315,1154857
1050,7350,1315714
1055,7385,1302824
1060,7420,1096228
1065,7455,1091989
1070,7490,1348340
1075,7525,1185012
1080,7560,1263753
1085,7595,1252650
1090,7630,1215717
1095,7665,1401847
1100,7700,1298731
1105,7735,1231102
1110,7770,1386677
1115,7805,1368030
1120,7840,1278330
1125,7875,1146444
1130,7910,1232380
1135,7945,1720418
1140,7980,1345710
1145,8015,1131330
1150,8050,1484097
1155,8085,1430374
1160,8120,1358972
1165,8155,1280921
1170,8190,1488910
1175,8225,1502902
1180,8260,1413332
